GUBERNATORIAL 2018 IN MICHIGAN
,
Office,State,RaceDate,CensusPop,Area,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
Governor,Michigan,20181106,"37,069",DELTA,"9,061","Schuette, Bill",Challenger,"6,991","Whitmer, Gretchen",Challenger,L,153,"Gelineau, Bill",Challenger,225,"2,070",R,.93,56.45,43.55,,,"Schleiger, Todd (U.S. Taxpayers) 101; Kurland, Jennifer V. (Green) 90; Butkovich, Keith (Natural Law) 34; Herman, Lance (Write-in) 0; Cobbs, William (Write-in) 0; Burney, Patrick O'Neal (Write-in) 0; Hutchinson, Larry Jr. (Write-in) 0; Hall, Raymond A. (Write-in) 0; Brown, Angelo (Write-in) 0"
Governor,Michigan,20181106,"26,168",DICKINSON,"6,914","Schuette, Bill",Challenger,"4,119","Whitmer, Gretchen",Challenger,L,107,"Gelineau, Bill",Challenger,193,"2,795",R,.94,62.67,37.33,,,"Schleiger, Todd (U.S. Taxpayers) 74; Kurland, Jennifer V. (Green) 84; Butkovich, Keith (Natural Law) 33; Space, Evan (Write-in) 2; Herman, Lance (Write-in) 0; Cobbs, William (Write-in) 0; Sanders, Robin Lee (Write-in) 0; Burney, Patrick O'Neal (Write-in) 0; Hutchinson, Larry Jr. (Write-in) 0; Hall, Raymond A. (Write-in) 0; Brown, Angelo (Write-in) 0"
Governor,Michigan,20181106,"107,759",EATON,"22,438","Schuette, Bill",Challenger,"27,003","Whitmer, Gretchen",Challenger,L,840,"Gelineau, Bill",Challenger,825,"4,565",D,1.64,45.38,54.62,,,"Schleiger, Todd (U.S. Taxpayers) 373; Kurland, Jennifer V. (Green) 332; Butkovich, Keith (Natural Law) 120; Herman, Lance (Write-in) 0; Cobbs, William (Write-in) 0; Burney, Patrick O'Neal (Write-in) 0; Hutchinson, Larry Jr. (Write-in) 0; Hall, Raymond A. (Write-in) 0; Brown, Angelo (Write-in) 0"
Governor,Michigan,20181106,"32,694",EMMET,"9,539","Schuette, Bill",Challenger,"7,788","Whitmer, Gretchen",Challenger,L,257,"Gelineau, Bill",Challenger,298,"1,751",R,1.44,55.05,44.95,,,"Schleiger, Todd (U.S. Taxpayers) 108; Kurland, Jennifer V. (Green) 144; Butkovich, Keith (Natural Law) 45; Space, Evan (Write-in) 1; Herman, Lance (Write-in) 0; Cobbs, William (Write-in) 0; Sanders, Robin Lee (Write-in) 0; Burney, Patrick O'Neal (Write-in) 0; Hutchinson, Larry Jr. (Write-in) 0; Hall, Raymond A. (Write-in) 0; Brown, Angelo (Write-in) 0"
Governor,Michigan,20181106,"425,790",GENESEE,"63,537","Schuette, Bill",Challenger,"100,073","Whitmer, Gretchen",Challenger,L,"2,182","Gelineau, Bill",Challenger,"2,753","36,536",D,1.29,38.83,61.17,,,"Schleiger, Todd (U.S. Taxpayers) 1,198; Kurland, Jennifer V. (Green) 1,217; Butkovich, Keith (Natural Law) 337; Rowley, Francis L. (Write-in) 1; Herman, Lance (Write-in) 0; Cobbs, William (Write-in) 0; Burney, Patrick O'Neal (Write-in) 0; Hutchinson, Larry Jr. (Write-in) 0; Hall, Raymond A. (Write-in) 0; Brown, Angelo (Write-in) 0"
Governor,Michigan,20181106,"25,692",GLADWIN,"6,512","Schuette, Bill",Challenger,"4,155","Whitmer, Gretchen",Challenger,L,129,"Gelineau, Bill",Challenger,209,"2,357",R,1.17,61.05,38.95,,,"Schleiger, Todd (U.S. Taxpayers) 114; Kurland, Jennifer V. (Green) 66; Butkovich, Keith (Natural Law) 28; Rowley, Francis L. (Write-in) 1; Herman, Lance (Write-in) 0; Cobbs, William (Write-in) 0; Burney, Patrick O'Neal (Write-in) 0; Hutchinson, Larry Jr. (Write-in) 0; Hall, Raymond A. (Write-in) 0; Brown, Angelo (Write-in) 0"
Governor,Michigan,20181106,"16,427",GOGEBIC,"3,003","Schuette, Bill",Challenger,"3,312","Whitmer, Gretchen",Challenger,L,65,"Gelineau, Bill",Challenger,127,309,D,1.00,47.55,52.45,,,"Schleiger, Todd (U.S. Taxpayers) 46; Kurland, Jennifer V. (Green) 49; Butkovich, Keith (Natural Law) 32; Herman, Lance (Write-in) 0; Cobbs, William (Write-in) 0; Burney, Patrick O'Neal (Write-in) 0; Hutchinson, Larry Jr. (Write-in) 0; Hall, Raymond A. (Write-in) 0; Brown, Angelo (Write-in) 0"
Governor,Michigan,20181106,"86,986",GRAND TRAVERSE,"24,031","Schuette, Bill",Challenger,"23,220","Whitmer, Gretchen",Challenger,L,802,"Gelineau, Bill",Challenger,748,811,R,1.64,50.86,49.14,,,"Schleiger, Todd (U.S. Taxpayers) 253; Kurland, Jennifer V. (Green) 357; Butkovich, Keith (Natural Law) 138; Herman, Lance (Write-in) 0; Cobbs, William (Write-in) 0; Burney, Patrick O'Neal (Write-in) 0; Hutchinson, Larry Jr. (Write-in) 0; Hall, Raymond A. (Write-in) 0; Brown, Angelo (Write-in) 0"
Governor,Michigan,20181106,"42,476",GRATIOT,"7,690","Schuette, Bill",Challenger,"6,170","Whitmer, Gretchen",Challenger,L,211,"Gelineau, Bill",Challenger,282,"1,520",R,1.47,55.48,44.52,,,"Schleiger, Todd (U.S. Taxpayers) 136; Kurland, Jennifer V. (Green) 100; Butkovich, Keith (Natural Law) 46; Herman, Lance (Write-in) 0; Cobbs, William (Write-in) 0; Burney, Patrick O'Neal (Write-in) 0; Hutchinson, Larry Jr. (Write-in) 0; Hall, Raymond A. (Write-in) 0; Brown, Angelo (Write-in) 0"
Governor,Michigan,20181106,"46,688",HILLSDALE,"11,088","Schuette, Bill",Challenger,"5,166","Whitmer, Gretchen",Challenger,L,226,"Gelineau, Bill",Challenger,341,"5,922",R,1.34,68.22,31.78,,,"Schleiger, Todd (U.S. Taxpayers) 151; Kurland, Jennifer V. (Green) 129; Butkovich, Keith (Natural Law) 61; Herman, Lance (Write-in) 0; Cobbs, William (Write-in) 0; Burney, Patrick O'Neal (Write-in) 0; Hutchinson, Larry Jr. (Write-in) 0; Hall, Raymond A. (Write-in) 0; Brown, Angelo (Write-in) 0"
